net,length_um
net2707,71.25µm
net2074,71.23µm
net2342,70.99µm
net2779,70.85µm
_05322_,70.82µm
net138,70.82µm
net2821,70.82µm
net925,70.8µm
net1917,70.74µm
net525,70.72µm
multiplier_inst.man_final\[20\],70.68µm
net2104,70.68µm
net2189,70.66µm
net1594,70.65µm
_02196_,70.62µm
net517,70.58µm
net1875,70.58µm
net1913,70.58µm
net1064,70.56µm
net1775,70.56µm
net762,70.55µm
_06908_,70.54µm
_00942_,70.51µm
net1558,70.48µm
_04850_,70.44µm
_01720_,70.43µm
_06960_,70.43µm
net2165,70.42µm
net1034,70.36µm
net2547,70.14µm
net3469,70.12µm
_03418_,70.1µm
net1794,70µm
net2544,70µm
net1549,69.99µm
_04895_,69.9µm
net2586,69.86µm
net2388,69.79µm
net1444,69.78µm
net1843,69.74µm
net1626,69.7µm
_02837_,69.69µm
net2279,69.6µm
_01833_,69.56µm
net2025,69.54µm
net1201,69.4µm
net2579,69.4µm
_06891_,69.34µm
_04932_,69.22µm
net329,69.22µm
net2620,69.2µm
_03069_,69.18µm
net1208,69.18µm
net1401,69.18µm
net1596,69.155µm
net281,69.14µm
net480,69.14µm
net334,69.06µm
net2696,68.96µm
net2353,68.9µm
net2324,68.88µm
add_res\[1\],68.86µm
net413,68.86µm
net2641,68.86µm
_03982_,68.815µm
net280,68.78µm
net1842,68.66µm
_03034_,68.58µm
net2287,68.57µm
_05603_,68.56µm
net497,68.53µm
_02672_,68.48µm
net2181,68.44µm
net2826,68.43µm
net885,68.38µm
net1590,68.33µm
net613,68.27µm
net338,68.22µm
net1925,68.18µm
net1136,68.14µm
net1052,68.12µm
net1597,68.12µm
_03470_,68.11µm
net2697,68.085µm
net17,68.04µm
adder_inst.sum_raw_r\[4\],68.01µm
net1076,67.98µm
net2223,67.98µm
net2659,67.96µm
net1936,67.9µm
_05657_,67.87µm
_01899_,67.86µm
_02164_,67.86µm
_02106_,67.82µm
_03020_,67.82µm
_03585_,67.82µm
net1126,67.82µm
adder_inst.sum_raw\[17\],67.8µm
net2086,67.76µm
net1676,67.74µm
net2343,67.74µm
net2935,67.69µm
net961,67.69µm
_01475_,67.66µm
net1179,67.66µm
net2731,67.66µm
net1759,67.63µm
_06617_,67.62µm
net1354,67.61µm
adder_inst.i_b\[1\],67.6µm
_06182_,67.45µm
net2716,67.41µm
_03794_,67.29µm
net955,67.26µm
adder_inst.sum_raw_r\[9\],67.11µm
_06298_,67.08µm
_06619_,67.08µm
net2326,67.06µm
net2601,67.055µm
net1386,67µm
_06884_,66.88µm
_00065_,66.84µm
_03936_,66.84µm
net305,66.7µm
net545,66.65µm
net1871,66.61µm
net945,66.59µm
net2683,66.59µm
adder_inst.exp_larger\[2\],66.56µm
net1638,66.56µm
net2763,66.54µm
net1763,66.41µm
net2603,66.37µm
net2691,66.36µm
net1848,66.34µm
adder_inst.man_b_r\[1\],66.33µm
net2451,66.3µm
net2673,66.24µm
net1753,66.22µm
net2506,66.18µm
net1024,66.16µm
net706,66.13µm
net2681,66.01µm
_03171_,66µm
net1641,65.94µm
_00716_,65.92µm
net2454,65.81µm
_05693_,65.8µm
_05644_,65.78µm
_03641_,65.76µm
net2897,65.74µm
_04930_,65.73µm
net524,65.7µm
net2251,65.68µm
_03479_,65.61µm
_01187_,65.6µm
