net,length_um
_3770_,32.46µm
net612,32.46µm
_1770_,32.38µm
_2999_,32.38µm
_4106_,32.38µm
_1432_,32.26µm
_1960_,32.26µm
_1741_,32.22µm
_3136_,32.18µm
_4224_,32.16µm
_1842_,32.14µm
clknet_leaf_14_clk,32.13µm
adder_inst.exp_larger_r\[5\],32.06µm
_1531_,32µm
_2892_,31.82µm
_1373_,31.8µm
_1353_,31.62µm
_3313_,31.58µm
_3730_,31.58µm
_3017_,31.54µm
_1070_,31.5µm
_3207_,31.46µm
_0081_,31.4µm
_1879_,31.4µm
_3927_,31.36µm
_3763_,31.26µm
_1763_,31.24µm
_1284_,31.22µm
_2648_,31.22µm
_2918_,31.22µm
_2246_,31.2µm
_3135_,31.16µm
_2589_,31.14µm
_0933_,31.135µm
_3971_,31.06µm
_3880_,30.96µm
_3936_,30.76µm
_1505_,30.72µm
_2402_,30.7µm
_3239_,30.7µm
_2112_,30.56µm
net482,30.56µm
_3653_,30.54µm
_3973_,30.52µm
_1769_,30.515µm
_1407_,30.5µm
_1939_,30.48µm
_3865_,30.44µm
_0037_,30.425µm
_4025_,30.42µm
_1153_,30.33µm
_2777_,30.26µm
_3966_,30.245µm
_3816_,30.24µm
_3785_,30.23µm
_4077_,30.22µm
_1433_,30.2µm
_4374_,30.2µm
net133,30.2µm
_2429_,30.12µm
_0601_,30.02µm
_2642_,29.995µm
_2036_,29.99µm
_4052_,29.92µm
_3031_,29.88µm
_3089_,29.88µm
multiplier_inst.is_zero_r,29.86µm
_4017_,29.82µm
net529,29.8µm
_2671_,29.76µm
_3422_,29.76µm
_3338_,29.72µm
_1654_,29.64µm
_3977_,29.64µm
_3974_,29.62µm
_2337_,29.56µm
_1723_,29.54µm
_2247_,29.46µm
_3253_,29.46µm
_0536_,29.4µm
_3203_,29.32µm
_1857_,29.3µm
adder_inst.man_b_r\[7\],29.3µm
_1999_,29.28µm
adder_inst.man_a_r\[9\],29.28µm
_0079_,29.22µm
_2390_,29.22µm
_2946_,29.2µm
_3041_,29.16µm
_4270_,29.14µm
adder_inst.exp_a_r\[4\],29.14µm
_0600_,29.12µm
_1659_,29.08µm
_2243_,29.04µm
_3864_,29.03µm
_0894_,29.02µm
_2413_,29µm
_1337_,28.98µm
_4476_,28.98µm
_4479_,28.98µm
adder_inst.exp_a\[7\],28.94µm
multiplier_inst.is_inf_r,28.94µm
_4100_,28.93µm
_1908_,28.92µm
_3926_,28.9µm
_2630_,28.88µm
_1668_,28.855µm
_3996_,28.805µm
_3114_,28.74µm
_1403_,28.7µm
_3415_,28.66µm
_1121_,28.62µm
_1506_,28.58µm
_2028_,28.56µm
_3789_,28.54µm
_4383_,28.52µm
_1168_,28.5µm
_3028_,28.48µm
_2354_,28.47µm
multiplier_inst.man_final\[19\],28.46µm
_2835_,28.45µm
_0700_,28.44µm
_1144_,28.34µm
_3351_,28.32µm
_2964_,28.28µm
adder_inst.exp_a_r\[3\],28.25µm
_2783_,28.22µm
_2887_,28.22µm
_2139_,28.2µm
_2478_,28.2µm
net140,28.16µm
_2574_,28.14µm
_1156_,28.12µm
_4354_,28.12µm
_1993_,28.1µm
_3461_,28.08µm
_4038_,28.08µm
_0794_,28.02µm
_3140_,27.96µm
_0627_,27.83µm
_1355_,27.82µm
_3965_,27.815µm
_0912_,27.8µm
_1493_,27.8µm
net33,27.78µm
_1608_,27.76µm
_2005_,27.76µm
_2978_,27.74µm
_0743_,27.66µm
_3159_,27.66µm
_1797_,27.64µm
_2009_,27.625µm
_1878_,27.61µm
_1961_,27.56µm
_0572_,27.48µm
adder_inst.exp_a\[3\],27.48µm
_3884_,27.46µm
_0979_,27.36µm
_1701_,27.36µm
_2814_,27.36µm
net599,27.32µm
_3995_,27.28µm
_3398_,27.25µm
_1513_,27.24µm
_3432_,27.215µm
_1861_,27.18µm
_3844_,27.18µm
_4207_,27.18µm
adder_inst.i_a\[17\],27.18µm
_1470_,27.1µm
_1703_,27.1µm
_3866_,27.04µm
_1780_,27.02µm
_4342_,27.02µm
adder_inst.i_b\[18\],26.94µm
_3661_,26.9µm
_4054_,26.9µm
_2399_,26.8µm
_2064_,26.74µm
_3298_,26.74µm
_3085_,26.72µm
_3830_,26.7µm
_3911_,26.66µm
_1269_,26.6µm
_1935_,26.6µm
adder_inst.sum_raw_r\[22\],26.6µm
_0919_,26.58µm
net698,26.54µm
_1670_,26.44µm
_1314_,26.4µm
_2940_,26.38µm
adder_inst.exp_a_r\[5\],26.35µm
_2076_,26.34µm
_2515_,26.34µm
_4099_,26.32µm
_0875_,26.3µm
_2235_,26.28µm
_2844_,26.27µm
_1050_,26.24µm
multiplier_inst.man_final\[21\],26.22µm
_2319_,26.2µm
_3036_,26.2µm
_3956_,26.2µm
_0594_,26.16µm
_2440_,26.14µm
_0453_,26µm
_2514_,26µm
_1143_,25.92µm
_2799_,25.9µm
_1617_,25.84µm
adder_inst.exp_a\[2\],25.84µm
_1252_,25.82µm
_1863_,25.82µm
_2732_,25.82µm
